bioguide_id,full_name,chamber,party,state,district,seat,member_type,voting_member,first_term_start,seniority_years,govtrack_id,served_113,served_114,served_115,served_116,served_117,served_118,served_119
S000168,Maria Elvira Salazar,House,Republican,FL,27,FL-27,Representative,True,2021-01-03,5.6,456810,False,False,False,False,True,True,True
G000593,Carlos A. Gimenez,House,Republican,FL,28,FL-28,Representative,True,2021-01-03,5.6,456809,False,False,False,False,True,True,True
C001039,Kat Cammack,House,Republican,FL,3,FL-3,Representative,True,2021-01-03,5.6,456806,False,False,False,False,True,True,True
B001314,Aaron Bean,House,Republican,FL,4,FL-4,Representative,True,2023-01-03,3.6,456888,False,False,False,False,False,True,True
R000609,John H. Rutherford,House,Republican,FL,5,FL-5,Representative,True,2017-01-03,9.6,412692,False,False,True,True,True,True,True
F000484,Randy Fine,House,Republican,FL,6,FL-6,Representative,True,2025-04-02,1.4,457035,False,False,False,False,False,False,True
M001216,Cory Mills,House,Republican,FL,7,FL-7,Representative,True,2023-01-03,3.6,456889,False,False,False,False,False,True,True
H001099,Mike Haridopolos,House,Republican,FL,8,FL-8,Representative,True,2025-01-03,1.6,456986,False,False,False,False,False,False,True
S001200,Darren Soto,House,Democratic,FL,9,FL-9,Representative,True,2017-01-03,9.6,412695,False,False,True,True,True,True,True
C001103,"Earl L. ""Buddy"" Carter",House,Republican,GA,1,GA-1,Representative,True,2015-01-06,11.6,412622,False,True,True,True,True,True,True
C001129,Mike Collins,House,Republican,GA,10,GA-10,Representative,True,2023-01-03,3.6,456895,False,False,False,False,False,True,True
L000583,Barry Loudermilk,House,Republican,GA,11,GA-11,Representative,True,2015-01-06,11.6,412624,False,True,True,True,True,True,True
A000372,Rick W. Allen,House,Republican,GA,12,GA-12,Representative,True,2015-01-06,11.6,412625,False,True,True,True,True,True,True
F000485,Clay Fuller,House,Republican,GA,14,GA-14,Representative,True,2026-04-14,0.3,457041,False,False,False,False,False,False,True
B000490,"Sanford D. Bishop, Jr.",House,Democratic,GA,2,GA-2,Representative,True,1993-01-05,33.6,400030,True,True,True,True,True,True,True
J000311,Brian Jack,House,Republican,GA,3,GA-3,Representative,True,2025-01-03,1.6,456987,False,False,False,False,False,False,True
J000288,"Henry C. ""Hank"" Johnson, Jr.",House,Democratic,GA,4,GA-4,Representative,True,2007-01-04,19.6,412199,True,True,True,True,True,True,True
W000788,Nikema Williams,House,Democratic,GA,5,GA-5,Representative,True,2021-01-03,5.6,456811,False,False,False,False,True,True,True
M001208,Lucy McBath,House,Democratic,GA,6,GA-6,Representative,True,2019-01-03,7.6,412769,False,False,False,True,True,True,True
M001218,Richard McCormick,House,Republican,GA,7,GA-7,Representative,True,2023-01-03,3.6,456894,False,False,False,False,False,True,True
S001189,Austin Scott,House,Republican,GA,8,GA-8,Representative,True,2011-01-05,15.6,412417,True,True,True,True,True,True,True
C001116,Andrew S. Clyde,House,Republican,GA,9,GA-9,Representative,True,2021-01-03,5.6,456813,False,False,False,False,True,True,True
M001219,James C. Moylan,House,Republican,GU,At-Large,GU-AL,Delegate/Resident Commissioner,False,2023-01-03,3.6,456896,False,False,False,False,False,True,True
C001055,Ed Case,House,Democratic,HI,1,HI-1,Representative,True,2003-01-07,23.6,400069,False,False,False,True,True,True,True
T000487,Jill N. Tokuda,House,Democratic,HI,2,HI-2,Representative,True,2023-01-03,3.6,456897,False,False,False,False,False,True,True
M001215,Mariannette Miller-Meeks,House,Republican,IA,1,IA-1,Representative,True,2021-01-03,5.6,456817,False,False,False,False,True,True,True
H001091,Ashley Hinson,House,Republican,IA,2,IA-2,Representative,True,2021-01-03,5.6,456816,False,False,False,False,True,True,True
N000193,Zachary Nunn,House,Republican,IA,3,IA-3,Representative,True,2023-01-03,3.6,456898,False,False,False,False,False,True,True
F000446,Randy Feenstra,House,Republican,IA,4,IA-4,Representative,True,2021-01-03,5.6,456818,False,False,False,False,True,True,True
F000469,Russ Fulcher,House,Republican,ID,1,ID-1,Representative,True,2019-01-03,7.6,412773,False,False,False,True,True,True,True
S001148,Michael K. Simpson,House,Republican,ID,2,ID-2,Representative,True,1999-01-06,27.6,400376,True,True,True,True,True,True,True
J000309,Jonathan L. Jackson,House,Democratic,IL,1,IL-1,Representative,True,2023-01-03,3.6,456899,False,False,False,False,False,True,True
S001190,Bradley Scott Schneider,House,Democratic,IL,10,IL-10,Representative,True,2013-01-03,13.6,412534,True,False,True,True,True,True,True
F000454,Bill Foster,House,Democratic,IL,11,IL-11,Representative,True,2008-03-08,18.4,412257,True,True,True,True,True,True,True
B001295,Mike Bost,House,Republican,IL,12,IL-12,Representative,True,2015-01-06,11.6,412629,False,True,True,True,True,True,True
B001315,Nikki Budzinski,House,Democratic,IL,13,IL-13,Representative,True,2023-01-03,3.6,456901,False,False,False,False,False,True,True
U000040,Lauren Underwood,House,Democratic,IL,14,IL-14,Representative,True,2019-01-03,7.6,412776,False,False,False,True,True,True,True
M001211,Mary E. Miller,House,Republican,IL,15,IL-15,Representative,True,2021-01-03,5.6,456820,False,False,False,False,True,True,True
L000585,Darin LaHood,House,Republican,IL,16,IL-16,Representative,True,2015-09-17,10.9,412674,False,True,True,True,True,True,True
S001225,Eric Sorensen,House,Democratic,IL,17,IL-17,Representative,True,2023-01-03,3.6,456902,False,False,False,False,False,True,True
K000385,Robin L. Kelly,House,Democratic,IL,2,IL-2,Representative,True,2013-04-09,13.3,412595,True,True,True,True,True,True,True
R000617,Delia C. Ramirez,House,Democratic,IL,3,IL-3,Representative,True,2023-01-03,3.6,456900,False,False,False,False,False,True,True
G000586,"Jesús G. ""Chuy"" García",House,Democratic,IL,4,IL-4,Representative,True,2019-01-03,7.6,412774,False,False,False,True,True,True,True
Q000023,Mike Quigley,House,Democratic,IL,5,IL-5,Representative,True,2009-04-07,17.4,412331,True,True,True,True,True,True,True
C001117,Sean Casten,House,Democratic,IL,6,IL-6,Representative,True,2019-01-03,7.6,412775,False,False,False,True,True,True,True
D000096,Danny K. Davis,House,Democratic,IL,7,IL-7,Representative,True,1997-01-07,29.6,400093,True,True,True,True,True,True,True
K000391,Raja Krishnamoorthi,House,Democratic,IL,8,IL-8,Representative,True,2017-01-03,9.6,412701,False,False,True,True,True,True,True
S001145,Janice D. Schakowsky,House,Democratic,IL,9,IL-9,Representative,True,1999-01-06,27.6,400360,True,True,True,True,True,True,True
M001214,Frank J. Mrvan,House,Democratic,IN,1,IN-1,Representative,True,2021-01-03,5.6,456821,False,False,False,False,True,True,True
Y000067,Rudy Yakym III,House,Republican,IN,2,IN-2,Representative,True,2022-11-14,3.8,456873,False,False,False,False,True,True,True
S001188,Marlin A. Stutzman,House,Republican,IN,3,IN-3,Representative,True,2010-11-16,15.7,412392,True,True,False,False,False,False,True
B001307,James R. Baird,House,Republican,IN,4,IN-4,Representative,True,2019-01-03,7.6,412777,False,False,False,True,True,True,True
S000929,Victoria Spartz,House,Republican,IN,5,IN-5,Representative,True,2021-01-03,5.6,456822,False,False,False,False,True,True,True
S001229,Jefferson Shreve,House,Republican,IN,6,IN-6,Representative,True,2025-01-03,1.6,456988,False,False,False,False,False,False,True
C001072,André Carson,House,Democratic,IN,7,IN-7,Representative,True,2008-03-13,18.4,412258,True,True,True,True,True,True,True
M001233,Mark B. Messmer,House,Republican,IN,8,IN-8,Representative,True,2025-01-03,1.6,456989,False,False,False,False,False,False,True
H001093,Erin Houchin,House,Republican,IN,9,IN-9,Representative,True,2023-01-03,3.6,456903,False,False,False,False,False,True,True
M000871,Tracey Mann,House,Republican,KS,1,KS-1,Representative,True,2021-01-03,5.6,456823,False,False,False,False,True,True,True
S001228,Derek Schmidt,House,Republican,KS,2,KS-2,Representative,True,2025-01-03,1.6,456990,False,False,False,False,False,False,True
D000629,Sharice Davids,House,Democratic,KS,3,KS-3,Representative,True,2019-01-03,7.6,412780,False,False,False,True,True,True,True
E000298,Ron Estes,House,Republican,KS,4,KS-4,Representative,True,2017-04-25,9.3,412735,False,False,True,True,True,True,True
C001108,James Comer,House,Republican,KY,1,KY-1,Representative,True,2016-11-14,9.7,412676,False,True,True,True,True,True,True
G000558,Brett Guthrie,House,Republican,KY,2,KY-2,Representative,True,2009-01-06,17.6,412278,True,True,True,True,True,True,True
M001220,Morgan McGarvey,House,Democratic,KY,3,KY-3,Representative,True,2023-01-03,3.6,456904,False,False,False,False,False,True,True
M001184,Thomas Massie,House,Republican,KY,4,KY-4,Representative,True,2012-11-13,13.8,412503,True,True,True,True,True,True,True
R000395,Harold Rogers,House,Republican,KY,5,KY-5,Representative,True,1981-01-05,45.6,400340,True,True,True,True,True,True,True
B001282,Andy Barr,House,Republican,KY,6,KY-6,Representative,True,2013-01-03,13.6,412541,True,True,True,True,True,True,True
S001176,Steve Scalise,House,Republican,LA,1,LA-1,Representative,True,2008-05-07,18.3,412261,True,True,True,True,True,True,True
C001125,Troy A. Carter,House,Democratic,LA,2,LA-2,Representative,True,2021-05-11,5.3,456860,False,False,False,False,True,True,True
H001077,Clay Higgins,House,Republican,LA,3,LA-3,Representative,True,2017-01-03,9.6,412705,False,False,True,True,True,True,True
J000299,Mike Johnson,House,Republican,LA,4,LA-4,Representative,True,2017-01-03,9.6,412706,False,False,True,True,True,True,True
L000595,Julia Letlow,House,Republican,LA,5,LA-5,Representative,True,2021-04-14,5.3,456859,False,False,False,False,True,True,True
F000110,Cleo Fields,House,Democratic,LA,6,LA-6,Representative,True,1993-01-05,33.6,404067,False,False,False,False,False,False,True
N000015,Richard E. Neal,House,Democratic,MA,1,MA-1,Representative,True,1989-01-03,37.6,400291,True,True,True,True,True,True,True
M000312,James P. McGovern,House,Democratic,MA,2,MA-2,Representative,True,1997-01-07,29.6,400263,True,True,True,True,True,True,True
T000482,Lori Trahan,House,Democratic,MA,3,MA-3,Representative,True,2019-01-03,7.6,412781,False,False,False,True,True,True,True
A000148,Jake Auchincloss,House,Democratic,MA,4,MA-4,Representative,True,2021-01-03,5.6,456825,False,False,False,False,True,True,True
C001101,Katherine M. Clark,House,Democratic,MA,5,MA-5,Representative,True,2013-12-12,12.7,412600,True,True,True,True,True,True,True
M001196,Seth Moulton,House,Democratic,MA,6,MA-6,Representative,True,2015-01-06,11.6,412632,False,True,True,True,True,True,True
P000617,Ayanna Pressley,House,Democratic,MA,7,MA-7,Representative,True,2019-01-03,7.6,412782,False,False,False,True,True,True,True
L000562,Stephen F. Lynch,House,Democratic,MA,8,MA-8,Representative,True,2001-10-23,24.8,400249,True,True,True,True,True,True,True
K000375,William R. Keating,House,Democratic,MA,9,MA-9,Representative,True,2011-01-05,15.6,412435,True,True,True,True,True,True,True
H001052,Andy Harris,House,Republican,MD,1,MD-1,Representative,True,2011-01-05,15.6,412434,True,True,True,True,True,True,True
O000176,"Johnny Olszewski, Jr.",House,Democratic,MD,2,MD-2,Representative,True,2025-01-03,1.6,456991,False,False,False,False,False,False,True
E000301,Sarah Elfreth,House,Democratic,MD,3,MD-3,Representative,True,2025-01-03,1.6,456992,False,False,False,False,False,False,True
I000058,Glenn Ivey,House,Democratic,MD,4,MD-4,Representative,True,2023-01-03,3.6,456905,False,False,False,False,False,True,True
H000874,Steny H. Hoyer,House,Democratic,MD,5,MD-5,Representative,True,1981-01-05,45.6,400189,True,True,True,True,True,True,True
M001232,April McClain Delaney,House,Democratic,MD,6,MD-6,Representative,True,2025-01-03,1.6,456993,False,False,False,False,False,False,True
M000687,Kweisi Mfume,House,Democratic,MD,7,MD-7,Representative,True,1987-01-06,39.6,407672,False,False,False,True,True,True,True
R000606,Jamie Raskin,House,Democratic,MD,8,MD-8,Representative,True,2017-01-03,9.6,412708,False,False,True,True,True,True,True
P000597,Chellie Pingree,House,Democratic,ME,1,ME-1,Representative,True,2009-01-06,17.6,412307,True,True,True,True,True,True,True
G000592,Jared F. Golden,House,Democratic,ME,2,ME-2,Representative,True,2019-01-03,7.6,412842,False,False,False,True,True,True,True
B001301,Jack Bergman,House,Republican,MI,1,MI-1,Representative,True,2017-01-03,9.6,412709,False,False,True,True,True,True,True
J000307,John James,House,Republican,MI,10,MI-10,Representative,True,2023-01-03,3.6,456907,False,False,False,False,False,True,True
S001215,Haley M. Stevens,House,Democratic,MI,11,MI-11,Representative,True,2019-01-03,7.6,412786,False,False,False,True,True,True,True
T000481,Rashida Tlaib,House,Democratic,MI,12,MI-12,Representative,True,2019-01-03,7.6,412787,False,False,False,True,True,True,True
T000488,Shri Thanedar,House,Democratic,MI,13,MI-13,Representative,True,2023-01-03,3.6,456908,False,False,False,False,False,True,True
M001194,John R. Moolenaar,House,Republican,MI,2,MI-2,Representative,True,2015-01-06,11.6,412634,False,True,True,True,True,True,True
S001221,Hillary J. Scholten,House,Democratic,MI,3,MI-3,Representative,True,2023-01-03,3.6,456906,False,False,False,False,False,True,True
H001058,Bill Huizenga,House,Republican,MI,4,MI-4,Representative,True,2011-01-05,15.6,412437,True,True,True,True,True,True,True
W000798,Tim Walberg,House,Republican,MI,5,MI-5,Representative,True,2007-01-04,19.6,412213,True,True,True,True,True,True,True
D000624,Debbie Dingell,House,Democratic,MI,6,MI-6,Representative,True,2015-01-06,11.6,412637,False,True,True,True,True,True,True
B001321,Tom Barrett,House,Republican,MI,7,MI-7,Representative,True,2025-01-03,1.6,456994,False,False,False,False,False,False,True
M001237,Kristen McDonald Rivet,House,Democratic,MI,8,MI-8,Representative,True,2025-01-03,1.6,456995,False,False,False,False,False,False,True
M001136,Lisa C. McClain,House,Republican,MI,9,MI-9,Representative,True,2021-01-03,5.6,456827,False,False,False,False,True,True,True
F000475,Brad Finstad,House,Republican,MN,1,MN-1,Representative,True,2022-08-12,4.0,456869,False,False,False,False,True,True,True
C001119,Angie Craig,House,Democratic,MN,2,MN-2,Representative,True,2019-01-03,7.6,412789,False,False,False,True,True,True,True
M001234,Kelly Morrison,House,Democratic,MN,3,MN-3,Representative,True,2025-01-03,1.6,456996,False,False,False,False,False,False,True
M001143,Betty McCollum,House,Democratic,MN,4,MN-4,Representative,True,2001-01-03,25.6,400259,True,True,True,True,True,True,True
